Permit_Number,Permit_Address,Street_Name,Cross_Street_1,Cross_Street_2,Permit_ZipCode,Applicant,Permit_Purpose,Permit_Approval_Date,Permit_Status,X,Y,Latitude,Longitude,Location1
08WR-0054,4501 DOUGLASS ST,DOUGLASS ST,18TH ST,18TH ST,54,"NextG Network, Inc.",Wireless Box,12/08/2008 12:00:00 AM,APPROVED,6001096.9748499999,2105082.5569500001,,,"(37.7602171724401, -122.439296648298)"
15WR-0148,537 GEARY ST,GEARY ST,TAYLOR ST,TAYLOR ST,94102,"ExteNet Systems, Inc.",Wireless Box,08/12/2015 12:00:00 AM,APPROVED,6009133.8522399999,2114562.5569500001,,,"(37.786701104121299, -122.412170791202)"
15WR-0052,248 ELLIS ST,ELLIS ST,MASON ST,MASON ST,94102,"ExteNet Systems, Inc.",Wireless Box,08/04/2015 12:00:00 AM,APPROVED,6009659.4591399999,2114017.8624999998,,,"(37.785643854123499, -122.410412344232)"
11WR-0017,66 HAIGHT ST,ROSE ST,GOUGH ST,GOUGH ST,94102,"NextG Networks of California, Inc",Wireless Box,10/19/2011 12:00:00 AM,APPROVED,6005808.7899900004,2109685.06605,,,"(37.773121574303701, -122.423327869407)"
15WR-0047,26 HAYES ST,HAYES ST,MARKET ST,MARKET ST,94102,"ExteNet Systems, Inc.",Wireless Box,09/15/2015 12:00:00 AM,APPROVED,6007896.3665500004,2111346.5057199998,,,"(37.778083184524299, -122.417316099334)"
15WR-0055,776 BUSH ST,BUSH ST,POWELL ST,POWELL ST,94102,"ExteNet Systems, Inc.",Wireless Box,09/11/2015 12:00:00 AM,APPROVED,6009785.75349,2115792.01217,,,"(37.790113449371603, -122.410002184864)"
15WR-0202,200 HYDE ST,HYDE ST,TURK ST,TURK ST,94102,"ExteNet Systems, Inc.",Wireless Box,08/18/2015 12:00:00 AM,APPROVED,6008121.6567500001,2113173.0351300002,,,"(37.782828966844498, -122.415574340147)"
14WR-0161,1320 BRYANT ST,BRYANT ST,DIVISION ST,DIVISION ST,94103,Verizon Wireless,Wireless Box,04/23/2015 12:00:00 AM,APPROVED,6009356.6926699998,2108225.2618800001,,,"(37.769312888877799, -122.410952043124)"
14WR-0086,30 15TH ST,DE HARO ST,ALAMEDA ST,ALAMEDA ST,94103,Verizon Wireless,Wireless Box,04/23/2015 12:00:00 AM,APPROVED,6012067.3152000001,2107540.0263800002,,,"(37.767583011523101, -122.40152790899801)"
14WR-0161,1320 BRYANT ST,BRYANT ST,DIVISION ST,DIVISION ST,94103,Verizon Wireless,Wireless Box,04/23/2015 12:00:00 AM,APPROVED,6009356.6926699998,2108225.2618800001,,,"(37.769312888877799, -122.410952043124)"
14WR-0160,2 HENRY ADAMS ST,DIVISION ST,HENRY ADAMS ST,HENRY ADAMS ST,94103,Verizon Wireless,Wireless Box,04/23/2015 12:00:00 AM,APPROVED,6011319.1014700001,2108172.3226899998,,,"(37.769277376111802, -122.40416040327101)"
15WR-0307,88 05TH ST,MISSION ST,05TH ST,05TH ST,94103,Verizon Wireless,Wireless Box,08/31/2015 12:00:00 AM,APPROVED,6010539.7595300004,2113092.32302,,,"(37.782742975839, -122.40720298687999)"
